parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,season,team
alpha[4],0.6776211865643117,0.07928256149979306,3.4734435955211147,-6.609238544856241,-1.5109484899153967,0.9918379902652681,2.8911759810826974,7.3510163258139505,1919.398519614097,1.0006655329090204,2008,DEN
alpha[5],3.8157734103806655,0.05939821087633405,3.5107708893384713,-2.694385273068027,1.54187957474895,3.577193942067862,5.957725565620463,11.168976444575387,3493.4799051207424,0.9996391685845037,2008,GB
alpha[6],4.826623713889312,0.08294172114663736,3.559223269375374,-1.5926532176303547,2.4045649790500345,4.476339563393299,7.042845096970485,12.394109101161083,1841.4688532349373,1.0016184115564235,2008,IND
alpha[7],0.37619715435057727,0.07909189273301911,3.651037527305231,-7.298303187638466,-1.8378810895027524,0.6718266559918026,2.752150509588375,7.25695038685808,2130.927413254923,1.002078215158938,2008,JAX
alpha[8],5.378332524220719,0.0825293016773555,3.7798423276117736,-1.1411740487193662,2.765022398828296,4.957619156280888,7.785857826219152,13.823487658659202,2097.640344947347,1.0002847211768102,2008,NO
alpha[9],2.874019537855805,0.060094957060423074,3.5095749467852007,-4.213805141268017,0.8241042062352741,2.768756391534446,4.9243929508796285,10.288297311623248,3410.6172476481092,1.0000763713546066,2008,NYJ
alpha[10],7.093726451384916,0.12284039387747461,4.263703946024713,0.23650455212635643,3.846671016473151,6.617667350156358,9.805126280544842,16.278947000305582,1204.7354289641203,1.0009120814586172,2008,PHI
alpha[11],2.6956988156814954,0.06757324107592447,3.565677263523639,-4.606178684746075,0.5760234303074154,2.6618359160865155,4.83679444713653,9.849225777286536,2784.4188409310423,1.0009388074662315,2008,SEA
alpha[12],3.647642906195904,0.05789971916427283,3.433349112999593,-2.8677095139695497,1.484949093808964,3.4015006753735504,5.685799759574932,10.962337254637827,3516.276494671669,1.0001011541893698,2008,TB
alpha[13],3.070647414424524,0.062418625464276366,3.458742363256681,-3.964266279305706,0.9647377168451011,2.9446344757168093,5.106059906625793,10.621614367770158,3070.492387767258,1.0002874361928695,2008,TEN
